Sample,Plate,Outcome,IL-1b,IL-10,IL-6,GM-CSF,IL-5,IFNg,TNFa,IL-2,IL-4,IL-8
STD 2,1,none,11361,13994,25485,16548,13975,12107,2328,24015.5,30642,36740.5
STD 2,1,none,24727,18284,38337,26576,23429,20799,4323,32250,53750,45848
IgG1,1,Non-restrictive,12046,497,35534.5,192.5,108,113,90,116,475.5,35144
IgG1,1,Non-restrictive,22694,502,48547,231.5,130,133.5,105,107,508,65476
IgG1,1,Non-restrictive,11706.5,581,32503,193,129,97,92,97,454,30228.5
YTE,1,Non-restrictive,19570,374,33524.5,197,102,136,132.5,116,447,73940
YTE,1,Non-restrictive,22924,427,44562,229,120,111.5,131,142,531,66958
YTE,1,Non-restrictive,19145.5,304,29287,183,93,115,110,144,376,69024.5
STD 3,1,none,10301,6970,14565,9308,9256,4630,840,15833,22602,19490
STD 3,1,none,23751,12680,22396,12835,15576,6044,1178.5,18824,34880,30871.5
HFST,1,Restrictive,12552.5,3373,54140,331.5,126.5,1249.5,2279,127,532,30964
HFST,1,Restrictive,13469.5,2311,73228,433.5,165,2412,3246,117,640.5,49293.5
HFST,1,Restrictive,10562,2311,41932,373,134,2386.5,2492,118,529.5,37257
IgG2,1,Restrictive,27311,3042.5,73136,382,180,1643.5,1978,162,784,72390
IgG2,1,Restrictive,25267,2995,75962,339.5,159,1305.5,1334.5,168,773.5,61560
IgG2,1,Restrictive,27817,3577.5,75778,396.5,198.5,1116,2012.5,258,844,73607
STD 4,1,none,5671,3276,6592,3751,3541,1375.5,255,7137,12359,8925
STD 4,1,none,12724,3443,8590,3994.5,4788,2211,297,7050.5,15711,10793
I332E,1,Non-restrictive,26691,610.5,77616,305,161,124,147,133,713.5,73986.5
I332E,1,Non-restrictive,24968,615,85954,299.5,151,124.5,135,155,664.5,75628.5
I332E,1,Non-restrictive,22614,594,81199,269,144,114,117,120,587,65476
IgG3 RH,1,Non-restrictive,15771,244,41530,147,99,107,90,87.5,343.5,61514
IgG3 RH,1,Non-restrictive,23854.5,375,48650,198,120,116,120,145,457.5,76248.5
IgG3 RH,1,Non-restrictive,25152,458.5,60067,252,136,138,144,162.5,638,74469
STD 5,1,none,7784,1527,3465,2183,1566.5,816,152.5,3105,5319.5,5169
STD 5,1,none,8554,1630,3634.5,2261,1821,978,159,2713,5677,5435
LALA,1,Restrictive,26094,2579.5,91421,352.5,168,1238,1340,171,739,75456
LALA,1,Restrictive,25543,2335,89812.5,319,168.5,1164,1760,143,647,72861
LALA,1,Restrictive,21867.5,1981,83105.5,322,155,917,1619,114,597,66728
IgG4,1,Restrictive,20995,1622,82279,297,137,1689,2004,116,580,65235
IgG4,1,Restrictive,26622,2354,72677,358.5,156,1329.5,1949,156,699,69633.5
IgG4,1,Restrictive,13655,3192,35810,349,112.5,1950,2920.5,101.5,479,24027
STD 6,1,none,2104,458,1018,648,401,265,57,886,1663.5,1495
STD 6,1,none,2939.5,474,1160,689,476,299.5,70,873.5,1281,1716.5
MLNS,1,Non-restrictive,9355,417,29310,172.5,102,104,81.5,101,407,26725.5
MLNS,1,Non-restrictive,19685,219,28161,145.5,93.5,109,91,104,326,68048.5
MLNS,1,Non-restrictive,9743.5,357.5,28230,153,96.5,93,90.5,98.5,336,33559
SEHFST LS,1,Restrictive,14967,3194,64523,267,137,962.5,1310,113,549,50787
SEHFST LS,1,Restrictive,8167,3540,34156,216,118.5,1329.5,901,92,386.5,22407.5
SEHFST LS,1,Restrictive,23016,3458,79959,333,164,1302,963,133.5,739,76881
STD 7,1,none,1204.5,261,513,303,235,181,52,365.5,584,924
STD 7,1,none,1323,254,487,282,210,199.5,49,362.5,571,839
N297Q,1,Non-restrictive,11159,461,40152,192,112,124,86.5,99,497,29022.5
N297Q,1,Non-restrictive,11440,417,43884.5,178.5,106,109.5,87,103,449.5,29425
N297Q,1,Non-restrictive,13377,499,52234,181.5,109,133,91,85.5,390,22970
SAEAKA,1,Restrictive,17181.5,2442,73079,313,128,1407.5,1473.5,107,611.5,57000
SAEAKA,1,Restrictive,14662,2712.5,73492.5,378,148,1556,2117.5,138.5,697,55001.5
SAEAKA,1,Restrictive,11440,3710,45963,322,129.5,1474,1977,117,502.5,34662
STD 8,1,none,313,95,156,106,88,96,29,142,162,661
STD 8,1,none,387,106,155,111,107.5,100,43,146.5,171,355
SDIE,1,Non-restrictive,8432,567.5,29608,219.5,100,100.5,83,121,410,24164
SDIE,1,Non-restrictive,22717,352,52096,228,118,110.5,122.5,119,541,76145.5
SDIE,1,Non-restrictive,9043,492,28689.5,185,94.5,97,75.5,85,316,24762
E380A,1,Non-restrictive,16137.5,2091,70426,255,145,135,138,130,595.5,51326.5
E380A,1,Non-restrictive,10841,2551,40967,231,138,157,111,116,520,31653
E380A,1,Non-restrictive,14319.5,2876.5,52395,353,162.5,175,147,140.5,802,45159
STD 9,1,none,209,68,123.5,70,77.5,86,40,87,88,701
STD 9,1,none,170,71,93,73,77,76.5,35,79,100,230
SDIEAL,1,Non-restrictive,8642,544,29999,216.5,103,102,95,98,375,27265.5
SDIEAL,1,Non-restrictive,11414.5,556,40060,214,116,127,104.5,109,517,31836
SDIEAL,1,Non-restrictive,12981.5,520,43482,175,91.5,93.5,87,93,340,24647
Isotype IgG1,1,Non-restrictive,8878,614,39233,169,101.5,110,83,88,426.5,28322
Isotype IgG1,1,Non-restrictive,15239,746,49822,263,136.5,124,108,126,671.5,44975
Isotype IgG1,1,Non-restrictive,18364.5,708,57149,283,145,125,124,127,618,48099
STD 10,1,none,70,62,60,55,60,81,33,58,53,186
STD 10,1,none,71,56,51,44,57,86.5,34,58.5,53.5,181
no Ab,1,none,7110,362.5,23383,128,91,97.5,76,81.5,303,21155
no Ab,1,none,6325,410,31928,194.5,93,133,95.5,101,328,21167
no Ab,1,none,6291,506,23383,168,87,103,66,82,303.5,17893.5
no Ab,1,none,9930,369,42632.5,204,119,124.5,115.5,119,451.5,32158
no Ab,1,none,10096,595,34065,190.5,118,110,86,95,436,28161
no Ab,1,none,8329.5,653,39692,222,123,110,89,101,495,35787
XXX,1,none,54.5,61,52,46,62,82,35,63.5,49,174.5
XXX,1,none,49,48,55,44,49,74.5,37,59,48,144
STD 1,1,none,4822.5,11950,21247,22097,10515.5,45412,16321,39233,21684,18376
STD 1,1,none,8403,19088,21316,24693,13767,45561,12269,31239,25255.5,18077
PMA/io 3X,1,none,7372,86,7673,968,63.5,116.5,113,103,157,24095.5
UNINFECTED,1,none,63,63,164,44,54,103,34,56,50,10321.5
UNINFECTED,1,none,68,59,399,41.5,56,88.5,33,58,44.5,8336
UNINFECTED,1,none,93,61,132.5,49,55,101,41,59,52.5,13382
BLANK,1,none,45.5,56,42,38,50,78,30,55,51,130
BLANK,1,none,44,49,45,38,55,79,36,52,47,155
BLANK,1,none,44,56,40,46,53.5,73,29,54,45.5,135
STD 2,2,none,17618,18973,27656,19364,19525,12994,3519,23739.5,43827,33421.5
STD 2,2,none,17687,20030,35787,26737,26186,16539.5,5087,32709,48168,36522
IgG1,2,Non-restrictive,10180,1040,34225.5,239,115.5,94,78,90,439.5,19536
IgG1,2,Non-restrictive,24405.5,1039,79384,357.5,148.5,98,122,141.5,766,70782
IgG1,2,Non-restrictive,9528,1097,33284,272,108,96.5,85,101.5,495,33467
YTE,2,Non-restrictive,24302,672.5,76260,402.5,164,109,159,166,812,76501.5
YTE,2,Non-restrictive,22062.5,656,61537,334,153,109,124,127.5,684,64316
YTE,2,Non-restrictive,18537,706,62341,359,163.5,103,124.5,123,701.5,55036
STD 3,2,none,10667,8726,17710,9768,8531,6084,1002.5,16437,25428,19042
STD 3,2,none,14704,12182,21247,13178.5,13745,6150.5,1550.5,18100,30458,19490
HFST,2,Restrictive,20765,3065,75146.5,336,168,232.5,169,136,728.5,61100
HFST,2,Restrictive,24141.5,2655.5,69163,334,157.5,310,152,156,822,58688
HFST,2,Restrictive,14689,3825,50603,289.5,147,236.5,137.5,126,642,39302
IgG2,2,Restrictive,28195.5,3196,80441,383,194.5,391,192.5,171,871.5,77879.5
IgG2,2,Restrictive,26094,2600.5,71437,344,179,294,156,156,852,64293
IgG2,2,Restrictive,15139,4280.5,51981,411,133,365,133.5,153,706,40610.5
STD 4,2,none,11010,3404,7595,4774,4606,2130,313.5,7064,12859,10156
STD 4,2,none,14264,3102.5,6797,4661,4051,1844,289,6029,14604.5,9959
I332E,2,Non-restrictive,21638,625.5,71930.5,426,161.5,120,154,130,744,66659
I332E,2,Non-restrictive,36384,817,97691,460,204,132.5,182,162,915,93936
I332E,2,Non-restrictive,10538.5,1035,35902,301,108,98,88,93,565,32801
IgG3 RH,2,Non-restrictive,23027.5,948.5,74170,361,169,106,131,112,810,65062.5
IgG3 RH,2,Non-restrictive,19708,790,55507,323,157.5,108,120,133,649,61399
IgG3 RH,2,Non-restrictive,21959,849,66682,330,150,120,133.5,114,735,57988
STD 5,2,none,7773,1876,3589,2077,1371,717.5,167,2646.5,5585,5380
STD 5,2,none,6748,1601,3236,1945.5,1939,796,168,2315,5856,4740.5
LALA,2,Restrictive,22912.5,2896.5,70794,355.5,179,380,141,133,721.5,65234.5
LALA,2,Restrictive,26622,3246,85517,396,167,374,193,161.5,821,73734
LALA,2,Restrictive,11571.5,4492,40634,296,126,365,121,107,497,28953.5
IgG4,2,Restrictive,15238,2990,59354.5,333,172,758,124,122.5,664,43046
IgG4,2,Restrictive,11536,4597,42701,303.5,140,406,145,120,580,37131
IgG4,2,Restrictive,17939.5,4191,62076.5,383,166,472,149,155,724.5,50603
STD 6,2,none,2953.5,457,865,610.5,340.5,259,60,776.5,1235,1496
STD 6,2,none,1644.5,442,813,549.5,331.5,262,65,754,1002,1374
MLNS,2,Non-restrictive,25244,759,74905,362.5,176,114.5,148.5,144,764,75296
MLNS,2,Non-restrictive,31285,783.5,80418,372,187,109,164.5,152,815,77685
MLNS,2,Non-restrictive,24279,693,76559,322,145,97,133,117.5,679.5,77937
SEHFST LS,2,Restrictive,19731,2012,84139,223,124,197,108.5,88,491,52314
SEHFST LS,2,Restrictive,9470.5,3656,35351,204.5,106,333,96,82,476,22327
SEHFST LS,2,Restrictive,21396.5,3643,66866,329.5,156,419,145.5,132.5,673,62283
STD 7,2,none,1215,251,378,294,210,147,48,307,540,693
STD 7,2,none,990,227,373.5,293.5,194,162,48,299,486,675
N297Q,2,Non-restrictive,25554.5,853.5,68680,394,168,116,148,145.5,739,70621.5
N297Q,2,Non-restrictive,17778.5,856,60491.5,370,149.5,103,121,132.5,684,58332.5
N297Q,2,Non-restrictive,23958,710.5,80280,358.5,150,104,133,114,677,65946.5
SAEAKA,2,Restrictive,17503,1680,78259,223,120,349,93.5,92,447,52900
SAEAKA,2,Restrictive,9878.5,1030,45458,243,129,290,98,99,522,31767.5
SAEAKA,2,Restrictive,11015,3788,47824,322.5,121,283,110.5,115.5,591,34225
STD 8,2,none,357,117,153,106.5,87.5,105,37,135,186.5,301
STD 8,2,none,274,95.5,158,113,86,99,40,122,152,334
SDIE,2,Non-restrictive,21041,705,55323,322,147.5,103,126.5,128,668,60147
SDIE,2,Non-restrictive,20523.5,761,63845,326,145,106,116,133.5,721,73251
SDIE,2,Non-restrictive,8751,828,40978,245,124,77,75,89.5,448,19525
E380A,2,Non-restrictive,20466,731,78488,308.5,141,94.5,111,120,649,68198
E380A,2,Non-restrictive,6866,1096,29700,202,94,90.5,66,81,372.5,19088
E380A,2,Non-restrictive,19065,982,63512,374,144,99.5,140,116,695,56173
STD 9,2,none,168,75,81,64.5,65,88.5,35,70,77.5,217
STD 9,2,none,172,64,111,70,70,78,37,77.5,84,490
SDIEAL,2,Non-restrictive,23372,755,67762,398,165,111,153,121,728,67876
SDIEAL,2,Non-restrictive,16200,796,46721,338,153,101,109,121,695.5,45618
SDIEAL,2,Non-restrictive,11190,847,43482,284,115,91,90,101,530,38509.5
Isotype IgG1,2,Non-restrictive,10518,1006,56208,207,123,83,81,88,496.5,35879
Isotype IgG1,2,Non-restrictive,7024.5,1059,35558,213,102,96,69,90,506,27242
Isotype IgG1,2,Non-restrictive,15125,1194,60939,264.5,154,95,104,115.5,592,48788
STD 10,2,none,70,57,48,48,58,78,27,58,53,174.5
STD 10,2,none,65,50,51.5,53,65,89,30,53,59,200
no Ab,2,none,25393.5,430,82577,341,153,107.5,144,131,776,73986.5
no Ab,2,none,22327,562,69553,266,135,95.5,102,106.5,614,63374
no Ab,2,none,11401.5,753,37223,221,122,85,82,108.5,465,29700
no Ab,2,none,11630,731,56460,238,127,91,86.5,95.5,575,32847
no Ab,2,none,10884.5,825,39968,262,120.5,93,90,101.5,512,26094
no Ab,2,none,18559.5,819.5,62249,284,133,113,135,146.5,663,53749.5
XXX,2,none,56,55,43,47,61,79,28,53.5,50,169
XXX,2,none,59.5,57,48,40,53,72,35,54.5,48,160
STD 1,2,none,28873.5,43907.5,54806.5,46055,40542,40175,16520,37487,65694,75686
STD 1,2,none,27288.5,49707,51763,48421,40887,52739,19260.5,38337,64488.5,73665
PMA/io 3X,2,none,16019,555.5,57448,237,135,95.5,91,96,590,46158
UNINFECTED,2,none,57,54,62.5,37.5,47.5,88,46,57,48,14232
UNINFECTED,2,none,103.5,55.5,135,47,46,76,37,52,49,14800
UNINFECTED,2,none,128,65,306,51,58,88,42,60,56.5,21753
BLANK,2,none,34,52,37,42,49,74.5,29.5,56.5,42,146
BLANK,2,none,42,51.5,49,45,49,78.5,32.5,51,46.5,182
BLANK,2,none,36,57,38,45.5,48,77,38,44,39,152